Time,HeartRate,BodyTemp,EnvTemp,Humidity
2026-03-09 15:33:30.056961,0.0,35.63,30.4,69.1
2026-03-09 15:33:33.068893,0.0,35.44,30.4,69.1
2026-03-09 15:33:36.080422,0.0,35.25,30.4,69.0
2026-03-09 15:33:39.095662,0.0,35.13,30.3,69.0
2026-03-09 15:33:42.106680,0.0,35.06,30.3,69.0
2026-03-09 15:33:45.119955,0.0,35.0,30.3,69.0
2026-03-09 15:33:48.137003,110.0,35.0,30.3,69.0
2026-03-09 15:33:51.147274,82.0,34.94,30.3,69.1
2026-03-09 15:33:54.161408,82.0,34.88,30.3,69.0
2026-03-09 15:33:57.173464,82.0,34.88,30.3,69.0
2026-03-09 15:34:00.186494,82.0,34.88,30.3,69.1
2026-03-09 15:34:03.201671,62.0,34.88,30.3,69.1
2026-03-09 15:34:06.214831,85.0,34.81,30.3,69.1
2026-03-09 15:34:09.227582,85.0,34.88,30.3,69.1
2026-03-09 15:34:12.239490,85.0,34.81,30.3,69.1
2026-03-09 15:34:15.253789,93.0,34.88,30.3,69.2
2026-03-09 15:34:18.265741,93.0,34.81,30.3,69.1
2026-03-09 15:34:21.282878,93.0,34.88,30.3,69.1
2026-03-09 15:34:24.292016,46.0,34.88,30.3,69.2
2026-03-09 15:34:27.305883,58.0,34.81,30.3,69.2
2026-03-09 15:34:30.320210,85.0,34.88,30.3,69.1
2026-03-09 15:34:33.331407,103.0,34.88,30.3,69.2
2026-03-09 15:34:36.345321,103.0,34.88,30.3,69.1
2026-03-09 15:34:39.358629,43.0,34.88,30.3,69.1
2026-03-09 15:34:42.375758,103.0,34.88,30.4,69.1
2026-03-09 15:34:45.385301,103.0,34.88,30.4,69.1
2026-03-09 15:34:48.398786,103.0,34.88,30.3,69.1
2026-03-09 15:34:51.410414,103.0,34.88,30.4,69.1
2026-03-09 15:34:54.424542,103.0,34.94,30.4,69.1
2026-03-09 15:34:57.436580,103.0,34.94,30.4,69.1
2026-03-09 15:35:00.452026,103.0,34.94,30.4,69.1
2026-03-09 15:35:03.462931,103.0,34.94,30.3,69.1
2026-03-09 15:35:06.479540,48.0,34.94,30.3,69.1
2026-03-09 15:35:09.490109,0.0,34.94,30.3,69.1
2026-03-09 15:35:12.504847,0.0,34.81,30.3,69.1
2026-03-09 15:35:15.517180,0.0,34.56,30.3,69.1
2026-03-09 15:35:18.530721,0.0,34.38,30.3,69.1
2026-03-09 15:35:21.542131,0.0,34.25,30.3,69.1
2026-03-09 15:35:24.557293,0.0,34.19,30.3,69.1
2026-03-09 15:35:27.574530,0.0,34.19,30.3,69.2
2026-03-09 15:35:30.584380,0.0,34.13,30.3,69.1
2026-03-09 15:35:33.597613,0.0,34.13,30.3,69.2
2026-03-09 15:35:36.609745,0.0,34.13,30.3,69.1
2026-03-09 15:35:39.621888,0.0,34.13,30.3,69.2
2026-03-09 15:35:42.634393,0.0,34.19,30.3,69.2
2026-03-09 15:35:45.649991,0.0,34.25,30.3,69.2
2026-03-09 15:35:48.660452,0.0,34.25,30.3,69.2
2026-03-09 15:35:51.675401,0.0,34.31,30.3,69.2
2026-03-09 15:35:54.686390,0.0,34.31,30.3,69.2
